序号,名称,1_max,2_max,1_avg,2_avg,瓶颈距离,一维持续性景观的L1范数,一维持续性景观的L2范数 ,持续熵
20,美锦能源000723.SZ,22.15517662,0.255616621,19.08107925,0.156722963,11.07758831,130.4264468,35.22784551,0.725767124
21,京东方A000725.SZ,0.99685925,0,0.460412161,0,0.498429625,4.067080956,1.35353484,0.772409999
22,振华科技000733.SZ,181.0175269,0,95.27475907,0,90.50876344,698.1748405,244.0839834,0.19858501
23,中航西飞000768.SZ,70.9036267,4.066802761,19.6797638,2.330725758,35.45181335,320.4977229,98.95075942,1.613613308
24,广发证券000776.SZ,23.85051447,0.303727573,6.130174306,0.303727573,11.92525723,83.78324158,30.94646258,0.218310009
25,北新建材000786.SZ,18.08429793,0,7.609689766,0,9.042148964,58.68512283,21.09479361,1.004015117
26,一汽解放000800.SZ,6.22786939,0.514129236,2.005890709,0.342853682,3.113934695,27.54566994,8.510516045,1.01143779
27,五粮液000858.SZ,1208.371505,42.82904334,463.2804671,42.82904334,604.1857527,4734.472415,1609.24072,1.097427787
28,新希望000876.SZ,4.852351825,0.112052556,2.506232646,0.060579779,2.426175913,14.97751271,5.836772408,0.320398609
29,天山股份000877.SZ,3.586369659,0.449286781,3.239185743,0.250198215,1.793184829,15.18994492,4.873019835,0.919769802
30,双汇发展000895.SZ,5.37002494,0,3.86147959,0,2.68501247,34.21645742,8.944598244,1.349258708
31,紫光股份000938.SZ,31.91754788,1.310586776,9.834032531,0.691366279,15.95877394,126.8398604,41.38139524,1.312232381
32,华东医药000963.SZ,76.84768249,1.348867699,38.16618605,1.348867699,38.42384125,365.5842659,109.8170177,1.016702566
33,浪潮信息000977.SZ,21.12184309,2.753253219,12.77153067,1.407654393,10.56092155,64.50192623,24.98904452,1.198440452
34,招商蛇口001979.SZ,11.07279805,0.292342213,5.759675084,0.292342213,5.536399026,73.02404589,18.86013008,1.73913653
35,新和成002001.SZ,19.46345617,0,18.64060512,0,9.731728086,138.5021308,35.07018793,0.692172564
36,华兰生物002007.SZ,12.20636133,0,5.641041081,0,6.103180664,4.422071878,4.422071878,0.781325578
37,大族激光002008.SZ,53.47710192,8.544077347,32.91573121,8.544077347,26.73855096,95.12930368,47.82875621,1.934164867
38,分众传媒002027.SZ,0.395853311,0,0.395853311,0,0.197926655,1.526784875,0.533768496,0
39,苏泊尔002032.SZ,68.73928091,0,26.89902376,0,34.36964045,351.9646324,101.1032095,1.192986133
40,紫光国微002049.SZ,5153.330662,1323.400305,1452.426546,657.8899772,2576.665331,13740.3544,5592.441258,1.099656974
41,三花智控002050.SZ,41.74453737,2.75412909,15.21732747,2.75412909,20.87226868,139.5055049,50.69489571,0.971214014
42,华峰化学002064.SZ,2.386777989,0,1.315159365,0,1.193388994,8.547507389,2.878796291,1.457704625
43,国轩高科002074.SZ,707.8200488,9292.033173,199.28351,3110.90347,4646.016587,33563.37935,12174.3164,0.338866953
44,韵达股份002120.SZ,11.26268834,0,4.489312535,0,5.631344172,74.79232875,19.27273728,1.549737591
45,TCL中环002129.SZ,96.19426724,0,49.89526901,0,48.09713362,439.2936596,134.7272485,0.840968276
47,中航光电002179.SZ,488.316272,11.04204583,154.4256186,11.04204583,244.158136,2240.034621,685.1188312,1.572442844
48,纳思达002180.SZ,20.21957629,0.188715011,11.28469973,0.188715011,10.10978815,121.1539013,32.27882096,1.674722552
49,金风科技002202.SZ,19.52420801,0.157299725,12.35718683,0.157299725,9.762104003,90.62532156,27.52127002,1.042741579
50,科大讯飞002230.SZ,210.9310495,19.41394464,142.9109511,10.38716769,105.4655248,750.4274324,262.6079243,0.800371129
51,大华股份002236.SZ,6.100967203,0.83188157,3.086998949,0.83188157,3.050483601,27.54190206,8.510803148,1.030358385
52,歌尔股份002241.SZ,396.6462962,15.23172295,112.2036713,12.42527088,198.3231481,1473.033727,521.2228621,1.120065408
53,上海莱士002252.SZ,0.388456441,0,0.108727462,0,0.194228221,1.498255548,0.523794559,0.453988489
54,东方雨虹002271.SZ,63.48449273,0,37.27724346,0,31.74224636,430.6432005,110.2843313,1.572157043
55,洋河股份002304.SZ,788.3035323,11.53387793,248.1161169,5.805606975,394.1517661,3175.923532,1059.226693,1.191136702
56,海大集团002311.SZ,224.1121842,14.78691411,63.21500286,8.726581846,112.0560921,648.8662313,257.3409557,1.065479126
57,顺丰控股002352.SZ,105.1194083,124.6718636,105.1194083,64.58553241,62.33593178,430.0776638,154.2274915,0.771204511
58,北方华创002371.SZ,5733.894991,821.7862757,1990.902498,821.7862757,2866.947496,21931.58551,7220.180281,1.537703021
59,广联达002410.SZ,90.50049991,6.09487977,42.05224856,6.09487977,45.25024995,472.0880546,133.5937363,1.19166582
60,高德红外002414.SZ,8.62099751,0.306884318,5.038390755,0.306884318,4.310498755,28.86446299,10.68691862,0.533978445
61,海康威视002415.SZ,61.55322465,6.20136023,32.39566465,3.707185861,30.77661233,171.0806974,70.66415826,0.717398961
62,晶澳科技002459.SZ,1282.663731,41.76234224,360.1580926,41.76234224,641.3318654,3998.108169,1553.498571,0.54936385
63,赣锋锂业002460.SZ,1281.425577,167.3889701,304.4099148,94.48895398,640.7127886,3864.481981,1513.883596,1.254769015
64,天齐锂业002466.SZ,262.790481,0,147.77012,0,131.3952405,1695.10206,441.4102937,1.681271015
65,立讯精密002475.SZ,16.91639383,0,6.428287088,0,8.458196913,85.92177459,24.80663717,1.72784748
66,荣盛石化002493.SZ,4.164108039,0,3.385148025,0,2.082054019,1.81446543,1.81446543,0.666432884
67,三七互娱002555.SZ,10.25707894,0.664332071,3.987268854,0.664332071,5.128539471,49.60446814,14.78793917,1.254978593
68,比亚迪002594.SZ,4724.254313,1087.897279,1386.804035,843.1420198,2362.127157,12611.80514,5057.086396,1.2352465
69,领益智造002600.SZ,0.191643346,0,0.191643346,0,0.095821673,0.739158053,0.258411835,0
70,龙佰集团002601.SZ,7.457321908,2.114354179,6.113155359,2.114354179,3.728660954,7.302483724,5.220472774,0.988410712
71,世纪华通002602.SZ,0.549140563,0.043803639,0.537299423,0.023938409,0.274570281,3.792659224,0.990943674,1.205770053
72,卫星化学002648.SZ,32.68824646,5.36507324,12.61448583,3.286284418,16.34412323,129.4616032,44.20659623,0.908551421
73,天赐材料002709.SZ,414.3823824,0,188.9119856,0,207.1911912,1675.263627,561.7888759,0.762487069
74,牧原股份002714.SZ,235.1396295,15.33527845,235.1396295,15.33527845,117.5698147,838.1319961,307.0722159,0.230324413
75,国信证券002736.SZ,0.769655889,0.013962423,0.769655889,0.013962423,0.384827944,2.347837859,0.921638136,0.089420674
76,永兴材料002756.SZ,2665.346194,418.8879802,2484.146595,188.1375782,1332.673097,15777.54006,4306.602716,1.023575811
77,恩捷股份002812.SZ,2588.892249,0,1064.246666,0,1294.446124,13181.7889,3790.622605,1.142021835
78,凯莱英002821.SZ,3508.992684,0,1713.434417,0,1754.496342,19557.1191,5385.511158,1.091729816
79,视源股份002841.SZ,72.03704036,1.173537104,29.98983388,1.173537104,36.01852018,285.7228617,97.45382193,0.688568643
80,深南电路002916.SZ,385.5571058,63.2208263,155.3716196,45.63603473,192.7785529,1357.661405,483.7269743,0.947185696
81,德赛西威002920.SZ,2843.553773,6960.446839,1539.696021,3504.857197,3480.223419,39897.68887,11171.20165,1.148628379
82,鹏鼎控股002938.SZ,86.11589753,6.107023893,40.52093008,3.59562887,43.05794876,364.3910848,116.2168273,0.892912326
83,中国广核003816.SZ,0.02528629,0,0.007684975,0,0.012643145,0.098137608,0.034101478,0.651796384
84,亿纬锂能300014.SZ,384.9194379,30.01797118,170.2663465,30.01797118,192.459719,1530.253209,500.2622895,1.455397873
85,爱尔眼科300015.SZ,1511.825322,395.8782767,801.2844314,202.2601305,755.9126609,4983.406372,1817.132298,1.502296057
86,同花顺300033.SZ,775.9031303,0,347.7237857,0,387.9515651,4664.900718,1247.674538,2.022761613
87,东方财富300059.SZ,23.89921671,0,8.966804638,0,11.94960836,117.3610949,34.48978552,1.099457622
88,智飞生物300122.SZ,2028.905164,0,1243.37761,0,1014.452582,8212.029648,2751.060427,0.477576902
89,汇川技术300124.SZ,50.22121075,0,27.7353132,0,25.11060538,194.6676133,67.72517227,0.313130427
90,沃森生物300142.SZ,293.4971474,12.30820161,107.8876618,12.30820161,146.7485737,1268.698778,399.305643,1.254305519
91,欣旺达300207.SZ,329.9701186,26.65167217,104.2221282,22.43120355,164.9850593,1170.504443,410.600404,1.370489696
92,北京君正300223.SZ,6389.139914,385.1384663,1572.085756,165.1508035,3194.569957,22525.80713,8312.682886,0.93038304
93,阳光电源300274.SZ,1866.198255,74.13887643,1075.053984,74.13887643,933.0991277,13315.84149,3367.950304,1.830556431
94,晶盛机电300316.SZ,162.4508901,31.70856299,83.24353979,18.32695648,81.22544507,306.3215543,150.576576,1.576689687
95,泰格医药300347.SZ,853.7462431,177.5994662,344.6307627,86.20202857,426.8731215,3465.522358,1103.194818,1.780358254
96,三环集团300408.SZ,107.6636319,12.84896846,38.28956959,12.84896846,53.83181593,276.6013855,115.6231145,1.07427651
97,芒果超媒300413.SZ,84.78256509,0,51.7305671,0,42.39128255,435.9639734,121.9875995,0.998470625
98,蓝思科技300433.SZ,13.86291328,0,13.37447036,0,6.931456638,46.82150884,17.13292287,0.692480157
99,先导智能300450.SZ,468.115744,13.62249826,249.5070904,8.539573386,234.057872,1569.225722,550.2944732,1.351609292
14,泸州老窖000568.SZ,272.7556162,0,133.0290222,0,136.3778081,1760.108655,458.2621678,1.350420459
12,徐工机械000425.SZ,3.349994678,0,1.5155761,0,1.674997339,15.99626328,4.771076027,1.604067203
13,云南白药000538.SZ,0,0,0,0,0,0,0,-1
14,泸州老窖000568.SZ,2.085375867,0,1.04218711,0,1.042687933,11.25687014,3.148923525,1.638097289
15,古井贡酒000596.SZ,3.426367176,0.32679862,0.686041201,0.126898396,1.713183588,14.265083,4.667197272,1.768176964
16,长安汽车000625.SZ,2.659670227,0.464658124,0.69004297,0.168699855,1.329835114,10.60809733,3.426749131,1.946845393
17,格力电器000651.SZ,0,0,0,0,0,0,0,-1
18,长春高新000661.SZ,0.213854608,0,0.109950875,0,0.106927304,1.293483621,0.344951291,1.083323398
